corte,avance_archivo,modelo,fp_pct_proyectado,fp_pct_objetivo,error_pp,error_abs_pp
2026-06-07 19:58:00,12.99,Arrastre nacional,0.5258199916831271,0.4995804967525242,2.62394949306029,2.62394949306029
2026-06-07 19:58:00,12.99,Jerarquico territorial,0.5297675747266734,0.4995804967525242,3.0187077974149155,3.0187077974149155
2026-06-07 19:58:00,12.99,ODPE ponderado,0.5272989807542477,0.4995804967525242,2.771848400172355,2.771848400172355
2026-06-07 20:58:00,38.342,Arrastre nacional,0.5269807192052219,0.4995804967525242,2.740022245269774,2.740022245269774
2026-06-07 20:58:00,38.342,Jerarquico territorial,0.5187993114576049,0.4995804967525242,1.9218814705080745,1.9218814705080745
2026-06-07 20:58:00,38.342,ODPE ponderado,0.5204903508930654,0.4995804967525242,2.0909854140541198,2.0909854140541198
2026-06-07 21:54:00,53.412,Arrastre nacional,0.5265207381145655,0.4995804967525242,2.694024136204126,2.694024136204126
2026-06-07 21:54:00,53.412,Jerarquico territorial,0.5148069595214158,0.4995804967525242,1.5226462768891558,1.5226462768891558
2026-06-07 21:54:00,53.412,ODPE ponderado,0.518155740378893,0.4995804967525242,1.857524362636881,1.857524362636881
2026-06-07 22:38:00,61.348,Arrastre nacional,0.5268893199389401,0.4995804967525242,2.7308823186415863,2.7308823186415863
2026-06-07 22:38:00,61.348,Jerarquico territorial,0.511038248606097,0.4995804967525242,1.145775185357284,1.145775185357284
2026-06-07 22:38:00,61.348,ODPE ponderado,0.5157354625454245,0.4995804967525242,1.6154965792900267,1.6154965792900267
2026-06-08 00:08:00,74.795,Arrastre nacional,0.5230400841770608,0.4995804967525242,2.3459587424536634,2.3459587424536634
2026-06-08 00:08:00,74.795,Jerarquico territorial,0.5063447753018814,0.4995804967525242,0.6764278549357183,0.6764278549357183
2026-06-08 00:08:00,74.795,ODPE ponderado,0.510956374225646,0.4995804967525242,1.1375877473121798,1.1375877473121798
2026-06-08 00:54:00,79.569,Arrastre nacional,0.5182053229682316,0.4995804967525242,1.8624826215707435,1.8624826215707435
2026-06-08 00:54:00,79.569,Jerarquico territorial,0.5032880974301565,0.4995804967525242,0.3707600677632261,0.3707600677632261
2026-06-08 00:54:00,79.569,ODPE ponderado,0.5085096278078458,0.4995804967525242,0.8929131055321615,0.8929131055321615
2026-06-08 01:42:00,84.046,Arrastre nacional,0.5128345603375809,0.4995804967525242,1.3254063585056708,1.3254063585056708
2026-06-08 01:42:00,84.046,Jerarquico territorial,0.5006631797457779,0.4995804967525242,0.1082682993253703,0.1082682993253703
2026-06-08 01:42:00,84.046,ODPE ponderado,0.5056914854573222,0.4995804967525242,0.6110988704798037,0.6110988704798037
2026-06-08 06:05:00,92.177,Arrastre nacional,0.5023470524880624,0.4995804967525242,0.27665557355382453,0.27665557355382453
2026-06-08 06:05:00,92.177,Jerarquico territorial,0.49899131630006816,0.4995804967525242,-0.058918045245603956,0.058918045245603956
2026-06-08 06:05:00,92.177,ODPE ponderado,0.49976623127651876,0.4995804967525242,0.01857345239945629,0.01857345239945629
2026-06-08 08:38:00,93.051,Arrastre nacional,0.5008477722662485,0.4995804967525242,0.1267275513724353,0.1267275513724353
2026-06-08 08:38:00,93.051,Jerarquico territorial,0.499000312471425,0.4995804967525242,-0.05801842810991831,0.05801842810991831
2026-06-08 08:38:00,93.051,ODPE ponderado,0.4991739230102495,0.4995804967525242,-0.04065737422747073,0.04065737422747073
2026-06-08 10:20:00,93.39,Arrastre nacional,0.500443450927581,0.4995804967525242,0.08629541750568293,0.08629541750568293
2026-06-08 10:20:00,93.39,Jerarquico territorial,0.49884911510312896,0.4995804967525242,-0.07313816493952352,0.07313816493952352
2026-06-08 10:20:00,93.39,ODPE ponderado,0.4989341666508419,0.4995804967525242,-0.0646330101682302,0.0646330101682302
2026-06-08 13:30:00,94.102,Arrastre nacional,0.49968811617510545,0.4995804967525242,0.010761942258125101,0.010761942258125101
2026-06-08 13:30:00,94.102,Jerarquico territorial,0.4995887614214493,0.4995804967525242,0.0008264668925117569,0.0008264668925117569
2026-06-08 13:30:00,94.102,ODPE ponderado,0.5002955276938368,0.4995804967525242,0.07150309413125888,0.07150309413125888
2026-06-08 16:28:00,94.714,Arrastre nacional,0.4992179350248447,0.4995804967525242,-0.03625617276795112,0.03625617276795112
2026-06-08 16:28:00,94.714,Jerarquico territorial,0.49900646306947954,0.4995804967525242,-0.05740336830446502,0.05740336830446502
2026-06-08 16:28:00,94.714,ODPE ponderado,0.4996236680657588,0.4995804967525242,0.004317131323461343,0.004317131323461343
2026-06-08 16:58:00,94.781,Arrastre nacional,0.49914117454604945,0.4995804967525242,-0.043932220647474596,0.043932220647474596
2026-06-08 16:58:00,94.781,Jerarquico territorial,0.49876679901792165,0.4995804967525242,-0.08136977346025476,0.08136977346025476
2026-06-08 16:58:00,94.781,ODPE ponderado,0.49924993682573204,0.4995804967525242,-0.03305599267921511,0.03305599267921511
2026-06-09 08:55:00,95.844,Arrastre nacional,0.4993470280488197,0.4995804967525242,-0.0233468703704498,0.0233468703704498
2026-06-09 08:55:00,95.844,Jerarquico territorial,0.4998085406338472,0.4995804967525242,0.022804388132302567,0.022804388132302567
2026-06-09 08:55:00,95.844,ODPE ponderado,0.5000079993734576,0.4995804967525242,0.04275026209334398,0.04275026209334398
2026-06-09 09:58:00,95.942,Arrastre nacional,0.4994385877467744,0.4995804967525242,-0.014190900574978516,0.014190900574978516
2026-06-09 09:58:00,95.942,Jerarquico territorial,0.49973857713566733,0.4995804967525242,0.015808038314313322,0.015808038314313322
2026-06-09 09:58:00,95.942,ODPE ponderado,0.4999615465624634,0.4995804967525242,0.038104980993919346,0.038104980993919346
2026-06-09 10:58:00,95.966,Arrastre nacional,0.4994482787600637,0.4995804967525242,-0.01322179924604927,0.01322179924604927
2026-06-09 10:58:00,95.966,Jerarquico territorial,0.4997381705406172,0.4995804967525242,0.01576737880930046,0.01576737880930046
2026-06-09 10:58:00,95.966,ODPE ponderado,0.4999615433177998,0.4995804967525242,0.03810465652756001,0.03810465652756001
2026-06-09 12:35:00,95.979,Arrastre nacional,0.4994333871204573,0.4995804967525242,-0.014710963206687744,0.014710963206687744
2026-06-09 12:35:00,95.979,Jerarquico territorial,0.49966142788894713,0.4995804967525242,0.008093113642293481,0.008093113642293481
2026-06-09 12:35:00,95.979,ODPE ponderado,0.4999526848422714,0.4995804967525242,0.03721880897472052,0.03721880897472052
2026-06-09 15:30:00,96.025,Arrastre nacional,0.49942956010761874,0.4995804967525242,-0.015093664490545278,0.015093664490545278
2026-06-09 15:30:00,96.025,Jerarquico territorial,0.49961505147550256,0.4995804967525242,0.0034554722978363817,0.0034554722978363817
2026-06-09 15:30:00,96.025,ODPE ponderado,0.4999013833648368,0.4995804967525242,0.03208866123126097,0.03208866123126097
2026-06-09 21:32:00,96.512,Arrastre nacional,0.49886392295503473,0.4995804967525242,-0.07165737974894615,0.07165737974894615
2026-06-09 21:32:00,96.512,Jerarquico territorial,0.49946510694159424,0.4995804967525242,-0.01153898109299556,0.01153898109299556
2026-06-09 21:32:00,96.512,ODPE ponderado,0.49964175656032156,0.4995804967525242,0.006125980779736473,0.006125980779736473
