modelo,fp_final,jp_final,fp_pct,jp_pct,margen_votos_fp,margen_pp_fp,ganador,margen_anterior,cambio_margen_keiko
Resultado observado,8915051.0,8955656.0,0.4988639229550347,0.5011360770449652,-40605.0,-0.2272154089930521,Sanchez,-20363.0,-20242.0
Arrastre nacional,9073232.7482884,9114558.211905405,0.4988639229550347,0.5011360770449652,-41325.46361700632,-0.2272154089930554,Sanchez,-20726.54439178668,-20598.919225219637
Jerarquico territorial,9098903.131912058,9091607.924436226,0.5002005223342333,0.4997994776657666,7295.207475831732,0.0401044668466628,Keiko,28115.505065670237,-20820.297589838505
ODPE ponderado,9097530.638810577,9091825.277948132,0.5001568324048568,0.4998431675951431,5705.360862443224,0.0313664809713608,Keiko,26552.57864481956,-20847.217782376338
JEE reportado sin cambios,9095274.0,9089781.0,0.5001510306127752,0.4998489693872248,5493.0,0.0302061225550321,Keiko,26507.0,-21014.0
Ensamble por backtesting,9094643.82633347,9095111.601483746,0.4999871417965972,0.5000128582034027,-467.7751502748579,-0.002571640680553,Sanchez,20100.64150568284,-20568.4166559577
