modelo,fp_final,jp_final,fp_pct,jp_pct,margen_votos_fp,margen_pp_fp,validos_pendientes
Resultado observado,8990593.0,9005692.0,0.4995804967525242,0.5004195032474757,-15099.0,-0.0839006494951597,0.0
Arrastre nacional,9256536.455856916,9272082.087156985,0.4995804967525242,0.5004195032474757,-15545.631300069392,-0.08390064949516042,532333.5430138992
Jerarquico territorial,9230453.267234938,9180877.618182916,0.5013463352910377,0.4986536647089622,49575.649052022025,0.26926705820754615,415045.8854178539
ODPE ponderado,9225584.590259995,9182170.530369125,0.5011792328724054,0.4988207671275946,43414.059890870005,0.23584657448108343,411470.12062912027
JEE reportado + faltantes territoriales,9226841.604039483,9178968.841795739,0.5013004796062804,0.49869952039371956,47872.762243743986,0.26009592125608577,409525.44583522086
Ensamble por backtesting,9233133.29731771,9195884.593011178,0.5010105992768632,0.4989894007231368,37248.7043065317,0.20211985537264543,432732.8903288897
