modelo,ganador,margen_votos_fp,fp_pct,jp_pct
Resultado observado,Sánchez,-15099.0,49.95804967525242,50.041950324747575
Arrastre nacional,Sánchez,-15545.631300069392,49.95804967525242,50.041950324747575
Jerarquico territorial,Keiko,49575.649052022025,50.134633529103766,49.86536647089622
ODPE ponderado,Keiko,43414.059890870005,50.117923287240544,49.882076712759456
JEE reportado + faltantes territoriales,Keiko,47872.762243743986,50.13004796062804,49.86995203937196
Ensamble por backtesting,Keiko,37248.7043065317,50.10105992768632,49.89894007231368
