modelo,mae,rmse,n_cortes
Arrastre nacional,0.8976619142867897,1.4499961672537764,19
Jerarquico territorial,0.4827162406018455,0.9477827303340544,19
ODPE ponderado,0.6002414676319558,1.041254670199625,19
